1,LARGE PROJECT : NEED HELP WITH JAVA,"Lorem ipsum dolor sit amet, melius assueverit accommodare ius at, utinam euismod his ex, causae inermis probatus mel an. Eu graece suscipit duo, dicit accusam ut sea. Electram sadipscing ei vel, pro nusquam scaevola in. Has amet regione nominati in, te esse maiorum fierent cum. Graecis elaboraret scripserit mel cu.",2018-08-24,2017-12-06,11,4,3,1
2,WHATSAPP PROJECT,"Lorem ipsum dolor sit amet, melius assueverit accommodare ius at, utinam euismod his ex, causae inermis probatus mel an. Eu graece suscipit duo, dicit accusam ut sea. Electram sadipscing ei vel, pro nusquam scaevola in. Has amet regione nominati in, te esse maiorum fierent cum. Graecis elaboraret scripserit mel cu.",2018-06-12,2017-07-31,9,1,12,1
3,HELP WITH C#,"Lorem ipsum dolor sit amet, melius assueverit accommodare ius at, utinam euismod his ex, causae inermis probatus mel an. Eu graece suscipit duo, dicit accusam ut sea. Electram sadipscing ei vel, pro nusquam scaevola in. Has amet regione nominati in, te esse maiorum fierent cum. Graecis elaboraret scripserit mel cu.",2018-04-25,2018-02-12,9,3,11,1
4,C# TASK AVAILABLE,"Lorem ipsum dolor sit amet, melius assueverit accommodare ius at, utinam euismod his ex, causae inermis probatus mel an. Eu graece suscipit duo, dicit accusam ut sea. Electram sadipscing ei vel, pro nusquam scaevola in. Has amet regione nominati in, te esse maiorum fierent cum. Graecis elaboraret scripserit mel cu.",2017-07-03,2017-05-09,5,2,5,1
5,PHOTOGRAPHY HELP NEEDED,"Lorem ipsum dolor sit amet, melius assueverit accommodare ius at, utinam euismod his ex, causae inermis probatus mel an. Eu graece suscipit duo, dicit accusam ut sea. Electram sadipscing ei vel, pro nusquam scaevola in. Has amet regione nominati in, te esse maiorum fierent cum. Graecis elaboraret scripserit mel cu.",2018-01-25,2017-11-27,5,4,1,1
6,VBA HELP NEEDED,"Lorem ipsum dolor sit amet, melius assueverit accommodare ius at, utinam euismod his ex, causae inermis probatus mel an. Eu graece suscipit duo, dicit accusam ut sea. Electram sadipscing ei vel, pro nusquam scaevola in. Has amet regione nominati in, te esse maiorum fierent cum. Graecis elaboraret scripserit mel cu.",2018-08-17,2018-07-18,12,1,11,2
7,OCULUS PROJECT,"Lorem ipsum dolor sit amet, melius assueverit accommodare ius at, utinam euismod his ex, causae inermis probatus mel an. Eu graece suscipit duo, dicit accusam ut sea. Electram sadipscing ei vel, pro nusquam scaevola in. Has amet regione nominati in, te esse maiorum fierent cum. Graecis elaboraret scripserit mel cu.",2017-05-26,2017-04-24,1,4,13,2
8,MARKETING PROJECT,"Lorem ipsum dolor sit amet, melius assueverit accommodare ius at, utinam euismod his ex, causae inermis probatus mel an. Eu graece suscipit duo, dicit accusam ut sea. Electram sadipscing ei vel, pro nusquam scaevola in. Has amet regione nominati in, te esse maiorum fierent cum. Graecis elaboraret scripserit mel cu.",2018-08-24,2018-06-06,12,4,15,1
9,PHOTOSHOP HELP NEEDED,"Lorem ipsum dolor sit amet, melius assueverit accommodare ius at, utinam euismod his ex, causae inermis probatus mel an. Eu graece suscipit duo, dicit accusam ut sea. Electram sadipscing ei vel, pro nusquam scaevola in. Has amet regione nominati in, te esse maiorum fierent cum. Graecis elaboraret scripserit mel cu.",2018-06-12,2018-06-09,13,2,15,1
10,HELP WITH PREZI,"Lorem ipsum dolor sit amet, melius assueverit accommodare ius at, utinam euismod his ex, causae inermis probatus mel an. Eu graece suscipit duo, dicit accusam ut sea. Electram sadipscing ei vel, pro nusquam scaevola in. Has amet regione nominati in, te esse maiorum fierent cum. Graecis elaboraret scripserit mel cu.",2018-10-21,2018-08-04,11,1,12,1
